start, end, subpop
4084625.0, 4090775.0, 0.612
4090775.0, 4099273.0, 0.608
4099273.0, 4100339.0, 0.612
4100339.0, 4112548.0, 0.6105
4112548.0, 4120605.0, 0.603
4120605.0, 4131168.0, 0.603
4131168.0, 4131356.0, 0.603
4131356.0, 4131900.0, 0.6015
4131900.0, 4134435.0, 0.6015
4134435.0, 4135459.0, 0.6015
4135459.0, 4139916.0, 0.6015
4139916.0, 4156517.0, 0.6015
4156517.0, 4160583.0, 0.6015
4160583.0, 4170705.0, 0.602
4170705.0, 4172199.0, 0.602
4172199.0, 4175222.0, 0.602
4175222.0, 4180285.0, 0.602
4180285.0, 4180582.0, 0.602
4180582.0, 4189358.0, 0.598
4189358.0, 4202738.0, 0.598
4202738.0, 4205370.0, 0.598
4205370.0, 4212480.0, 0.598
4212480.0, 4212770.0, 0.582
4212770.0, 4215569.0, 0.582
4215569.0, 4219000.0, 0.582
4219000.0, 4247204.0, 0.582
4247204.0, 4250921.0, 0.5805
4250921.0, 4260422.0, 0.5805
4260422.0, 4261968.0, 0.5805
4261968.0, 4285779.0, 0.5805
4285779.0, 4286888.0, 0.58
4286888.0, 4300139.0, 0.58
4300139.0, 4301402.0, 0.579
4301402.0, 4304634.0, 0.5785
